date;transaction_details;description;category;payment_method;withdrawal_amt;deposit_amt;user_id
2024-01-05;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;124.0;0.0;1
2024-01-05;City & Environmental Services;Charges for various city and environmental services such as waste management, recycling, and environmental protection;Government Services;Online banking;327.0;0.0;1
2024-01-05;Home Ownership;;Other Expenses;Others;442.0;0.0;1
2024-01-05;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;756.0;0.0;1
2024-01-05;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;367.0;0.0;1
2024-01-05;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;385.0;0.0;1
2024-01-06;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;669.0;0.0;1
2024-01-06;Home Ownership;;Other Expenses;Others;415.0;0.0;1
2024-01-06;Meals;Charges for meals;Other Expenses;Online payment;138.0;0.0;1
2024-01-06;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;8130.0;1
2024-01-06;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;1200.0;1
2024-01-06;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;1500.0;1
2024-01-06;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;1800.0;1
2024-01-06;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;639.0;0.0;1
2024-01-06;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;206.0;0.0;1
2024-01-06;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;501.85;0.0;1
2024-01-06;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;580.74;0.0;1
2024-01-06;Property Maintenance;;Other Expenses;Others;229.63;0.0;1
2024-01-06;School Fees;Fees for children's school;Education;Bank transfer;500.0;0.0;1
2024-01-06;Health Insurance;Monthly health insurance premium;Insurance;Online banking;150.0;0.0;1
2024-01-06;Coffee Shop;Expenses for coffee and snacks;Dining;Cash;20.0;0.0;1
2024-01-07;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;481.75;0.0;1
2024-01-07;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;802.97;0.0;1
2024-01-07;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;948.88;0.0;1
2024-01-07;Planning;Fees for planning applications or permits;Other Expenses;Online banking;718.72;0.0;1
2024-01-07;City & Environmental Services;Charges for various city and environmental services such as waste management, recycling, and environmental protection;Government Services;Online banking;991.72;0.0;1
2024-01-07;Meals;Charges for meals;Other Expenses;Online payment;465.69;0.0;1
2024-01-07;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;227.3;0.0;1
2024-01-07;Property Maintenance;;Other Expenses;Others;469.08;0.0;1
2024-01-07;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;758.21;0.0;1
2024-01-07;Electricity Bill;Monthly electricity utility bill;Utilities;Direct debit;70.0;0.0;1
2024-01-07;Bookstore;Purchase of books;Shopping;Debit Card;50.0;0.0;1
2024-01-07;Car Maintenance;Routine car maintenance;Transportation;Online banking;200.0;0.0;1
2024-01-08;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;928.3;0.0;1
2024-01-08;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;345.6;0.0;1
2024-01-08;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;694.3;0.0;1
2024-01-08;Planning;Fees for planning applications or permits;Other Expenses;Online banking;41.99;0.0;1
2024-01-08;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;936.68;0.0;1
2024-01-08;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;151.22;0.0;1
2024-01-08;Property Maintenance;;Other Expenses;Others;162.21;0.0;1
2024-01-08;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;495.19;0.0;1
2024-01-08;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;372.0;0.0;1
2024-01-08;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;141.0;0.0;1
2024-01-08;Clothing;Purchase of new clothing;Shopping;Cash;100.0;0.0;1
2024-01-08;Internet Subscription;Monthly subscription fee for internet service;Utilities;Direct debit;60.0;0.0;1
2024-01-08;Coffee Shop;Expenses for coffee and snacks;Dining;Debit Card;15.0;0.0;1
2024-01-08;Salary;Monthly salary;Income/Salary;Bank transfer;0.0;5000.0;1
2024-01-09;Planning;Fees for planning applications or permits;Other Expenses;Online banking;892.0;0.0;1
2024-01-09;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;695.0;0.0;1
2024-01-09;Nurseries;Fees for childcare services;Other Expenses;Direct debit;399.0;0.0;1
2024-01-09;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;234.0;0.0;1
2024-01-09;Property Maintenance;;Other Expenses;Others;65.0;0.0;1
2024-01-09;Housing Rent;Rental payments for housing accommodations;Other Expenses;Direct debit;1100.0;0.0;1
2024-01-09;Property Maintenance;;Other Expenses;Others;749.0;0.0;1
2024-01-09;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;309.0;0.0;1
2024-01-09;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;97.0;0.0;1
2024-01-09;Meals;Charges for meals;Other Expenses;Online payment;859.0;0.0;1
2024-01-09;Mobile Phone Bill;Monthly bill for mobile phone usage;Utilities;Online banking;40.0;0.0;1
2024-01-09;Grocery Shopping;Expenses for weekly grocery shopping;Groceries;Debit Card;230.0;0.0;1
2024-01-09;Movie Streaming Subscription;Monthly subscription fee for movie streaming service;Entertainment;Direct debit;15.0;0.0;1
2024-01-10;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;667.0;1
2024-01-10;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;870.0;1
2024-01-10;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;517.0;0.0;1
2024-01-10;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;19.0;0.0;1
2024-01-10;Meals;Charges for meals;Other Expenses;Online payment;610.0;0.0;1
2024-01-10;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;89.0;0.0;1
2024-01-10;Nurseries;Fees for childcare services;Other Expenses;Direct debit;633.0;0.0;1
2024-01-10;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;765.0;0.0;1
2024-01-10;Nurseries;Fees for childcare services;Other Expenses;Direct debit;89.0;0.0;1
2024-01-10;Dining Out;Expenses for dining out;Dining;Cash;75.0;0.0;1
2024-01-10;Gym Membership;Monthly membership fee for gym;Health & Fitness;Debit Card;70.0;0.0;1
2024-01-10;Gas Bill;Monthly gas utility bill;Utilities;Direct debit;45.0;0.0;1
2024-01-10;Dining Out;Expenses for dining out;Dining;Cash;85.0;0.0;1
2024-01-11;Planning;Fees for planning applications or permits;Other Expenses;Online banking;422.0;0.0;1
2024-01-11;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;633.0;0.0;1
2024-01-11;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;750.0;1
2024-01-11;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;321.0;0.0;1
2024-01-11;Meals;Charges for meals;Other Expenses;Online payment;777.0;0.0;1
2024-01-11;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;92.0;0.0;1
2024-01-11;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;498.0;0.0;1
2024-01-11;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;854.0;0.0;1
2024-01-11;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;726.0;0.0;1
2024-01-11;Car Insurance;Annual car insurance premium;Insurance;Bank transfer;1200.0;0.0;1
2024-01-11;School Fees;Fees for children's school;Education;Online banking;500.0;0.0;1
2024-01-11;Petrol;Fuel expenses for the car;Transportation;Debit Card;95.0;0.0;1
2024-01-12;Property Maintenance;;Other Expenses;Others;63.0;0.0;1
2024-01-12;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;299.0;0.0;1
2024-01-12;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;286.0;0.0;1
2024-01-12;Nurseries;Fees for childcare services;Other Expenses;Direct debit;42.0;0.0;1
2024-01-12;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;753.0;0.0;1
2024-01-12;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;115.0;0.0;1
2024-01-12;Meals;Charges for meals;Other Expenses;Online payment;382.68;0.0;1
2024-01-12;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;395.36;0.0;1
2024-01-12;Planning;Fees for planning applications or permits;Other Expenses;Online banking;173.35;0.0;1
2024-01-12;Health Insurance;Monthly health insurance premium;Insurance;Online banking;150.0;0.0;1
2024-01-13;Home Ownership;;Other Expenses;Others;4.94;0.0;1
2024-01-13;Home Ownership;;Other Expenses;Others;703.98;0.0;1
2024-01-13;Meals;Charges for meals;Other Expenses;Online payment;696.95;0.0;1
2024-01-13;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;845.87;0.0;1
2024-01-13;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;731.82;0.0;1
2024-01-13;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;863.3;0.0;1
2024-01-13;Property Maintenance;;Other Expenses;Others;860.88;0.0;1
2024-01-13;Home Ownership;;Other Expenses;Others;978.16;0.0;1
2024-01-13;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;859.51;0.0;1
2024-01-13;Electronics Purchase;Purchase of new laptop;Shopping;Debit Card;3500.0;0.0;1
2024-01-13;Savings Deposit;Monthly savings deposit;Savings;Others;2000.0;0.0;1
2024-01-14;Property Maintenance;;Other Expenses;Others;551.81;0.0;1
2024-01-14;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;458.85;0.0;1
2024-01-14;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;654.25;0.0;1
2024-01-14;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;392.9;0.0;1
2024-01-14;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;708.96;0.0;1
2024-01-14;Meals;Charges for meals;Other Expenses;Online payment;345.93;0.0;1
2024-01-14;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;447.43;0.0;1
2024-01-14;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;192.0;0.0;1
2024-01-14;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;811.0;0.0;1
2024-01-15;Mortgages;Payments towards mortgage loans;Other Expenses;Direct debit;560.0;0.0;1
2024-01-15;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;335.0;0.0;1
2024-01-15;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;607.0;0.0;1
2024-01-15;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;898.0;0.0;1
2024-01-15;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;423.0;0.0;1
2024-01-15;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;669.0;0.0;1
2024-01-15;Internet Subscription;Monthly subscription fee for internet service;Utilities;Direct debit;60.0;0.0;1
2024-01-15;Grocery Shopping;Expenses for weekly grocery shopping;Groceries;Debit Card;240.0;0.0;1
2024-01-16;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;255.0;0.0;1
2024-01-16;Property Maintenance;;Other Expenses;Others;785.0;0.0;1
2024-01-16;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;95.0;0.0;1
2024-01-16;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;366.0;0.0;1
2024-01-16;Car Maintenance;Routine car maintenance;Transportation;Online banking;220.0;0.0;1
2024-01-16;Investment;Investment in stocks;Investment;Bank transfer;500.0;0.0;1
2024-01-17;Home Ownership;;Other Expenses;Others;504.0;0.0;1
2024-01-17;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;29.0;0.0;1
2024-01-17;Property Maintenance;;Other Expenses;Others;899.0;0.0;1
2024-01-17;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;684.0;0.0;1
2024-01-17;Electricity Bill;Monthly electricity utility bill;Utilities;Direct debit;75.0;0.0;1
2024-01-17;Bookstore;Purchase of books;Shopping;Debit Card;60.0;0.0;1
2024-01-18;Planning;Fees for planning applications or permits;Other Expenses;Online banking;51.0;0.0;1
2024-01-18;City & Environmental Services;Charges for various city and environmental services such as waste management, recycling, and environmental protection;Government Services;Online banking;823.0;0.0;1
2024-01-18;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;285.0;0.0;1
2024-01-18;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;600.0;0.0;1
2024-01-18;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;68.0;0.0;1
2024-01-18;Health Insurance;Monthly health insurance premium;Insurance;Online banking;160.0;0.0;1
2024-01-18;Movie Tickets;Expenses for movie tickets;Entertainment;Online payment;35.0;0.0;1
2024-01-19;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;385.0;0.0;1
2024-01-19;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;899.0;0.0;1
2024-01-19;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;17.0;0.0;1
2024-01-19;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;982.0;0.0;1
2024-01-19;Planning;Fees for planning applications or permits;Other Expenses;Online banking;102.0;0.0;1
2024-01-19;Mobile Phone Bill;Monthly bill for mobile phone usage;Utilities;Online banking;42.0;0.0;1
2024-01-19;Shopping;Shopping expenses;Shopping;Cash;200.0;0.0;1
2024-01-20;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;63.0;0.0;1
2024-01-20;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;893.0;0.0;1
2024-01-20;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;422.0;0.0;1
2024-01-20;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;189.0;0.0;1
2024-01-20;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;756.0;0.0;1
2024-01-20;Gym Membership;Monthly membership fee for gym;Health & Fitness;Debit Card;75.0;0.0;1
2024-01-20;Utilities Deposit;Deposit for utilities bill correction;Utilities;Others;150.0;0.0;1
2024-01-20;Home Ownership;;Other Expenses;Others;442.0;0.0;1
2024-01-21;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;315.0;0.0;1
2024-01-21;City & Environmental Services;Charges for various city and environmental services such as waste management, recycling, and environmental protection;Government Services;Online banking;47.0;0.0;1
2024-01-21;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;810.0;0.0;1
2024-01-21;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;28.0;0.0;1
2024-01-21;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;672.0;0.0;1
2024-01-21;Car Insurance;Annual car insurance premium;Insurance;Bank transfer;1300.0;0.0;1
2024-01-21;Dining Out;Expenses for dining out;Dining;Cash;90.0;0.0;1
2024-01-21;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;29.0;0.0;1
2024-01-22;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;217.0;0.0;1
2024-01-22;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;948.0;0.0;1
2024-01-22;Planning;Fees for planning applications or permits;Other Expenses;Online banking;75.0;0.0;1
2024-01-22;Nurseries;Fees for childcare services;Other Expenses;Direct debit;431.0;0.0;1
2024-01-22;Asset Regeneration;Charges related to the regeneration or redevelopment of assets;Other Expenses;Bank transfer;894.0;0.0;1
2024-01-22;Travel;Travel expenses for vacation;Travel;Debit Card;1000.0;0.0;1
2024-01-22;Investment Returns;Returns from investment;Investment;Others;300.0;0.0;1
2024-01-22;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;376.0;0.0;1
2024-01-22;Home Ownership;;Other Expenses;Others;703.98;0.0;1
2024-01-22;Housing Rent;Rental payments for housing accommodations;Other Expenses;Direct debit;1100.0;0.0;1
2024-01-22;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;33.0;0.0;1
2024-01-22;Leeds Card;Charges related to the use of the Leeds Card loyalty program;Other Expenses;Card payment;366.0;0.0;1
2024-01-22;Property Maintenance;;Other Expenses;Others;785.0;0.0;1
2024-01-23;Sundry Debtors;Miscellaneous outstanding debts owed to the organization;Debts/Overpayments;Direct debit;162.0;0.0;1
2024-01-23;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;586.0;0.0;1
2024-01-23;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;921.0;0.0;1
2024-01-23;Nurseries;Fees for childcare services;Other Expenses;Direct debit;19.0;0.0;1
2024-01-23;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;341.0;0.0;1
2024-01-23;School Fees;Fees for children's school;Education;Online banking;550.0;0.0;1
2024-01-23;Petrol;Fuel expenses for the car;Transportation;Debit Card;105.0;0.0;1
2024-01-23;Property Maintenance;;Other Expenses;Others;910.0;0.0;1
2024-01-23;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;741.0;0.0;1
2024-01-23;Electoral & Local Land Charges;Charges for electoral and local land services;Government Services;Online banking;214.0;0.0;1
2024-01-24;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;743.0;0.0;1
2024-01-24;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;88.0;0.0;1
2024-01-24;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;506.0;0.0;1
2024-01-24;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;38.0;0.0;1
2024-01-24;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;957.0;0.0;1
2024-01-24;Health Insurance;Monthly health insurance premium;Insurance;Online banking;160.0;0.0;1
2024-01-24;Shopping;Shopping expenses;Shopping;Cash;180.0;0.0;1
2024-01-24;Planning;Fees for planning applications or permits;Other Expenses;Online banking;42.0;0.0;1
2024-01-24;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;596.0;0.0;1
2024-01-25;Parks and Countryside;Charges for access to parks and countryside facilities;Other Expenses;Cash;358.0;0.0;1
2024-01-25;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;72.0;0.0;1
2024-01-25;Housing Repairs & Keys;Charges for repairs and replacement of keys for housing units;Other Expenses;Online payment;891.0;0.0;1
2024-01-25;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;19.0;0.0;1
2024-01-25;Internet Subscription;Monthly subscription fee for internet service;Utilities;Direct debit;60.0;0.0;1
2024-01-25;Grocery Shopping;Expenses for weekly grocery shopping;Groceries;Debit Card;235.0;0.0;1
2024-01-25;Leodis;Charges for services provided by Leodis;Other Expenses;Bank transfer;633.0;0.0;1
2024-01-25;Mortgages;Payments towards mortgage loans;Other Expenses;Direct debit;970.0;0.0;1
2024-01-25;Museums;Admission fees or charges for services provided by museums;Other Expenses;Cash;664.0;0.0;1
2024-01-25;Council Tax;Local government tax levied on residential properties;Government Services;Direct debit;753.0;0.0;1
2024-01-25;Home Ownership;;Other Expenses;Others;978.16;0.0;1
2024-01-25;Mortgages;Payments towards mortgage loans;Other Expenses;Direct debit;970.0;0.0;1
2024-01-25;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;512.0;0.0;1
2024-01-25;Property Maintenance;;Other Expenses;Others;57.0;0.0;1
2024-01-26;Children's Services;Fees for various services provided to children, such as childcare or youth programs;Other Expenses;Direct debit;643.0;0.0;1
2024-01-26;City & Environmental Services;Charges for various city and environmental services such as waste management, recycling, and environmental protection;Government Services;Online banking;778.0;0.0;1
2024-01-26;Home Ownership;;Other Expenses;Others;44.0;0.0;1
2024-01-26;Home Ownership;;Other Expenses;Others;572.0;0.0;1
2024-01-26;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;894.0;0.0;1
2024-01-26;Investment;Investment in mutual funds;Investment;Bank transfer;700.0;0.0;1
2024-01-26;Dining Out;Expenses for dining out;Dining;Cash;85.0;0.0;1
2024-01-26;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;764.0;0.0;1
2024-01-26;Property Maintenance;;Other Expenses;Others;910.0;0.0;1
2024-01-26;Nurseries;Fees for childcare services;Other Expenses;Direct debit;209.0;0.0;1
2024-01-26;Property Maintenance;;Other Expenses;Others;899.0;0.0;1
2024-01-27;Home Ownership;;Other Expenses;Others;67.0;0.0;1
2024-01-27;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;759.0;0.0;1
2024-01-27;Entertainment Licences;Fees for licenses required for entertainment events;Other Expenses;Bank transfer;96.0;0.0;1
2024-01-27;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Credit card;582.0;0.0;1
2024-01-27;Commercial/Market Rents;Rent payments for commercial or market spaces;Income/Salary;Bank transfer;0.0;1200.0;1
2024-01-27;Utilities Deposit;Deposit for utilities bill correction;Utilities;Others;160.0;0.0;1
2024-01-27;Blue Badge;Charges for disabled parking permits (Blue Badge);Other Expenses;Online payment;580.74;0.0;1
2024-01-27;Business Rates;Taxes imposed on non-residential properties used for business purposes;Government Services;Online banking;137.0;0.0;1
2024-01-27;Property Maintenance;;Other Expenses;Others;745.0;0.0;1
2024-01-27;Highways;Fees for maintenance and development of roads and highways;Government Services;Direct debit;632.0;0.0;1
2024-01-28;Fleet Services;Fees for fleet vehicle maintenance and services.;Utilities;Others;143.0;0.0;1
2024-01-28;Housing Benefits Overpayments;Overpayments of housing benefits that need to be refunded;Debts/Overpayments;Cheque;37.0;0.0;1
2024-01-28;Parking Fines;Fines issued for parking violations;Other Expenses;Online payment ;905.0;0.0;1
